Zeit (ms),Kanal A (mV)
-25.00833239,4.10248500
-25.00333239,4.28949300
-24.99833239,4.28949300
-24.99333239,5.03506400
-24.98833239,4.66227800
-24.98333239,5.22207200
-24.97833239,4.28949300
-24.97333239,5.22207200
-24.96833239,5.40846400
-24.96333239,5.59485700
-24.95833239,5.59485700
-24.95333239,5.59485700
-24.94833239,6.15403500
-24.94333239,5.22207200
-24.93833239,4.66227800
-24.93333239,4.28949300
-24.92833239,4.28949300
-24.92333239,3.72970000
-24.91833239,4.47588600
-24.91333239,2.79712100
-24.90833239,2.42433500
-24.90333239,2.42433500
-24.89833239,1.11897100
-24.89333239,0.18639270
-24.88833239,-0.55917820
-24.88333239,-0.74557080
-24.87833239,-1.67815000
-24.87333239,-1.67815000
-24.86833239,-2.61072800
-24.86333239,-1.30536400
-24.85833239,-2.42433500
-24.85333239,-1.67815000
-24.84833239,-2.23794300
-24.84333239,-1.49175700
-24.83833239,-1.49175700
-24.83333239,-0.74557080
-24.82833239,-0.55917820
-24.82333239,-1.49175700
-24.81833239,-1.30536400
-24.81333239,-0.93196360
-24.80833239,-0.74557080
-24.80333239,-1.30536400
-24.79833239,-0.74557080
-24.79333239,-2.23794300
-24.78833239,-2.23794300
-24.78333239,-2.98351400
-24.77833239,-2.79712100
-24.77333239,-2.79712100
-24.76833239,-2.61072800
-24.76333239,-3.54330700
-24.75833239,-2.98351400
-24.75333239,-4.10248500
-24.74833239,-2.98351400
-24.74333239,-5.03506400
-24.73833239,-5.03506400
-24.73333239,-4.66227800
-24.72833239,-5.03506400
-24.72333239,-4.84867100
-24.71833239,-4.47588600
-24.71333239,-4.10248500
-24.70833239,-3.54330700
-24.70333239,-4.84867100
-24.69833239,-5.03506400
-24.69333239,-5.78125000
-24.68833239,-6.71382900
-24.68333239,-7.27362200
-24.67833239,-6.90022100
-24.67333239,-7.83279900
-24.66833239,-6.52743600
-24.66333239,-8.76537800
-24.65833239,-8.76537800
-24.65333239,-9.69795700
-24.64833239,-10.07074000
-24.64333239,-9.69795700
-24.63833239,-9.88435100
-24.63333239,-9.69795700
-24.62833239,-9.32455600
-24.62333239,-10.63054000
-24.61833239,-9.32455600
-24.61333240,-9.32455600
-24.60833240,-7.64640700
-24.60333240,-8.57898500
-24.59833240,-6.71382900
-24.59333240,-7.27362200
-24.58833240,-6.71382900
-24.58333240,-6.90022100
-24.57833240,-5.96764200
-24.57333240,-6.71382900
-24.56833240,-5.03506400
-24.56333240,-4.66227800
-24.55833240,-3.17052100
-24.55333240,-4.47588600
-24.54833240,-4.84867100
-24.54333240,-5.03506400
-24.53833240,-4.84867100
-24.53333240,-4.47588600
-24.52833240,-4.10248500
-24.52333240,-4.47588600
-24.51833240,-4.10248500
-24.51333240,-4.47588600
-24.50833240,-3.72970000
-24.50333240,-4.10248500
-24.49833240,-3.17052100
-24.49333240,-3.91609200
-24.48833240,-2.98351400
-24.48333240,-2.98351400
-24.47833240,-3.35691400
-24.47333240,-2.98351400
-24.46833240,-2.23794300
-24.46333240,-4.10248500
-24.45833240,-2.98351400
-24.45333240,-2.05093500
-24.44833240,-3.17052100
-24.44333240,-2.98351400
-24.43833240,-3.17052100
-24.43333240,-3.17052100
-24.42833240,-2.98351400
-24.42333240,-4.10248500
-24.41833240,-3.91609200
-24.41333240,-3.91609200
-24.40833240,-3.35691400
-24.40333240,-3.91609200
-24.39833240,-4.84867100
-24.39333240,-4.84867100
-24.38833240,-4.28949300
-24.38333240,-5.78125000
-24.37833240,-4.28949300
-24.37333240,-5.59485700
-24.36833240,-5.40846400
-24.36333240,-4.10248500
-24.35833240,-3.17052100
-24.35333240,-3.72970000
-24.34833240,-3.54330700
-24.34333240,-2.98351400
-24.33833240,-3.54330700
-24.33333240,-3.17052100
-24.32833240,-3.54330700
-24.32333240,-2.98351400
-24.31833240,-2.98351400
-24.31333240,-4.10248500
-24.30833240,-2.23794300
-24.30333240,-3.35691400
-24.29833240,-1.86454200
-24.29333240,-3.54330700
-24.28833240,-2.61072800
-24.28333240,-1.67815000
-24.27833240,-2.79712100
-24.27333240,-2.98351400
-24.26833240,-2.98351400
-24.26333240,-2.98351400
-24.25833240,-2.98351400
-24.25333240,-3.91609200
-24.24833240,-3.17052100
-24.24333240,-3.72970000
-24.23833240,-2.98351400
-24.23333240,-3.17052100
-24.22833240,-1.30536400
-24.22333240,-3.17052100
-24.21833240,-1.49175700
-24.21333241,-1.30536400
-24.20833241,-1.49175700
-24.20333241,-1.49175700
-24.19833241,0.00000000
-24.19333241,0.18639270
-24.18833241,2.05093500
-24.18333241,1.11897100
-24.17833241,1.86454200
-24.17333241,1.11897100
-24.16833241,2.79712100
-24.16333241,2.42433500
-24.15833241,1.49175700
-24.15333241,3.35691400
-24.14833241,4.66227800
-24.14333241,3.72970000
-24.13833241,4.84867100
-24.13333241,5.40846400
-24.12833241,6.52743600
-24.12333241,5.40846400
-24.11833241,6.34104300
-24.11333241,5.96764200
-24.10833241,7.64640700
-24.10333241,7.46001400
-24.09833241,8.01919300
-24.09333241,7.83279900
-24.08833241,7.64640700
-24.08333241,8.39259300
-24.07833241,8.95177200
-24.07333241,8.01919300
-24.06833241,8.76537800
-24.06333241,6.52743600
-24.05833241,7.64640700
-24.05333241,7.64640700
-24.04833241,8.39259300
-24.04333241,6.52743600
-24.03833241,8.39259300
-24.03333241,7.46001400
-24.02833241,7.46001400
-24.02333241,6.90022100
-24.01833241,6.71382900
-24.01333241,7.27362200
-24.00833241,6.71382900
-24.00333241,5.59485700
-23.99833241,7.27362200
-23.99333241,6.71382900
-23.98833241,7.46001400
-23.98333241,7.27362200
-23.97833241,5.59485700
-23.97333241,5.78125000
-23.96833241,5.78125000
-23.96333241,5.96764200
-23.95833241,5.40846400
-23.95333241,4.84867100
-23.94833241,5.78125000
-23.94333241,3.91609200
-23.93833241,5.03506400
-23.93333241,4.10248500
-23.92833241,3.91609200
-23.92333241,3.91609200
-23.91833241,4.28949300
-23.91333241,3.91609200
-23.90833241,5.03506400
-23.90333241,4.28949300
-23.89833241,4.84867100
-23.89333241,4.10248500
-23.88833241,4.66227800
-23.88333241,5.03506400
-23.87833241,4.10248500
-23.87333241,5.22207200
-23.86833241,4.28949300
-23.86333241,5.22207200
-23.85833241,5.22207200
-23.85333241,4.66227800
-23.84833241,4.66227800
-23.84333241,4.84867100
-23.83833241,4.66227800
-23.83333241,4.28949300
-23.82833241,4.28949300
-23.82333241,4.28949300
-23.81833242,4.84867100
-23.81333242,3.17052100
-23.80833242,4.28949300
-23.80333242,2.98351400
-23.79833242,4.10248500
-23.79333242,4.47588600
-23.78833242,3.91609200
-23.78333242,3.54330700
-23.77833242,4.28949300
-23.77333242,3.91609200
-23.76833242,4.47588600
-23.76333242,4.10248500
-23.75833242,4.84867100
-23.75333242,3.54330700
-23.74833242,5.40846400
-23.74333242,4.28949300
-23.73833242,3.91609200
-23.73333242,3.72970000
-23.72833242,4.66227800
-23.72333242,3.91609200
-23.71833242,4.84867100
-23.71333242,4.66227800
-23.70833242,4.84867100
-23.70333242,5.40846400
-23.69833242,5.22207200
-23.69333242,3.91609200
-23.68833242,5.22207200
-23.68333242,5.59485700
-23.67833242,4.47588600
-23.67333242,4.84867100
-23.66833242,5.22207200
-23.66333242,5.22207200
-23.65833242,4.47588600
-23.65333242,4.66227800
-23.64833242,3.91609200
-23.64333242,3.17052100
-23.63833242,1.86454200
-23.63333242,0.74557080
-23.62833242,1.49175700
-23.62333242,0.37278540
-23.61833242,0.18639270
-23.61333242,-1.67815000
-23.60833242,-1.67815000
-23.60333242,-1.11897100
-23.59833242,-1.86454200
-23.59333242,-1.86454200
-23.58833242,-2.05093500
-23.58333242,-1.30536400
-23.57833242,-1.30536400
-23.57333242,-2.05093500
-23.56833242,-0.74557080
-23.56333242,-1.11897100
-23.55833242,-0.74557080
-23.55333242,-1.11897100
-23.54833242,-1.11897100
-23.54333242,-1.30536400
-23.53833242,-1.11897100
-23.53333242,-1.30536400
-23.52833242,-0.37278540
-23.52333242,-1.67815000
-23.51833242,-2.05093500
-23.51333242,-2.61072800
-23.50833242,-2.42433500
-23.50333242,-3.91609200
-23.49833242,-2.98351400
-23.49333242,-3.54330700
-23.48833242,-3.72970000
-23.48333242,-3.91609200
-23.47833242,-3.91609200
-23.47333242,-4.47588600
-23.46833242,-3.91609200
-23.46333242,-5.40846400
-23.45833242,-4.10248500
-23.45333242,-4.47588600
-23.44833242,-4.84867100
-23.44333242,-4.84867100
-23.43833242,-5.22207200
-23.43333242,-4.84867100
-23.42833242,-5.40846400
-23.42333243,-5.40846400
-23.41833243,-5.96764200
-23.41333243,-6.15403500
-23.40833243,-6.90022100
-23.40333243,-8.20558500
-23.39833243,-7.46001400
-23.39333243,-8.57898500
-23.38833243,-8.57898500
-23.38333243,-10.07074000
-23.37833243,-9.32455600
-23.37333243,-10.44414000
-23.36833243,-9.13816400
-23.36333243,-10.63054000
-23.35833243,-9.51156400
-23.35333243,-9.88435100
