Zeit (ms),Voltage
0.0,0.5968258
0.049952,0.5781865
0.099904,0.5968258
0.149856,0.5781865
0.199808,0.5595472
0.24976,0.5595472
0.299712,0.5595472
0.34966399,0.5595472
0.39961599,0.5595472
0.44956799,0.5595472
0.49951999,0.5595472
0.54947199,0.5595472
0.59942399,0.5595472
0.64937599,0.5595472
0.69932799,0.5595472
0.74927999,0.5595472
0.79923199,0.5595472
0.84918399,0.5595472
0.89913599,0.540908
0.94908799,0.5595472
0.99903998,0.5595472
1.04899198,0.5595472
1.09894398,0.5595472
1.14889598,0.5595472
1.19884798,0.5595472
1.24879998,0.5595472
1.29875198,0.5595472
1.34870398,0.5595472
1.39865598,0.5595472
1.44860798,0.5595472
1.49855998,0.5595472
1.54851198,0.5595472
1.59846398,0.5595472
1.64841598,0.5595472
1.69836797,0.5595472
1.74831997,0.5595472
1.79827197,0.5595472
1.84822397,0.5595472
1.89817597,0.5595472
1.94812797,0.5595472
1.99807997,0.5595472
2.04803197,0.5595472
2.09798397,0.5595472
2.14793597,0.5595472
2.19788797,0.5595472
2.24783997,0.5595472
2.29779197,0.5595472
2.34774396,0.5595472
2.39769596,0.5595472
2.44764796,0.5595472
2.49759996,0.5595472
2.54755196,0.5595472
2.59750396,0.5781865
2.64745596,0.5781865
2.69740796,0.5595472
2.74735996,0.5595472
2.79731196,0.5595472
2.84726396,0.5595472
2.89721596,0.5595472
2.94716796,0.5595472
2.99711995,0.5595472
3.04707195,0.5595472
3.09702395,0.5595472
3.14697595,0.5595472
3.19692795,0.5595472
3.24687995,0.5595472
3.29683195,0.5595472
3.34678395,0.5595472
3.39673595,0.5595472
3.44668795,0.5595472
3.49663995,0.5595472
3.54659195,0.5595472
3.59654395,0.5595472
3.64649594,0.5595472
3.69644794,0.5595472
3.74639994,0.5595472
3.79635194,0.5595472
3.84630394,0.5595472
3.89625594,0.5595472
3.94620794,0.5595472
3.99615994,0.5595472
4.04611194,0.5595472
4.09606394,0.5595472
4.14601594,0.5595472
4.19596794,0.5595472
4.24591994,0.5595472
4.29587194,0.5595472
4.34582393,0.5595472
