Zeit;Kanal A
(ms);(V)

0,00000000;0,80204230
0,04990400;0,80204230
0,09980800;0,80204230
0,14971200;0,80204230
0,19961600;0,80204230
0,24952000;0,80204230
0,29942400;0,80204230
0,34932800;0,80204230
0,39923200;0,80204230
0,44913600;0,80204230
0,49904000;0,80204230
0,54894400;0,80204230
0,59884800;0,80204230
0,64875200;0,80204230
0,69865600;0,80204230
0,74856000;0,80204230
0,79846400;0,80204230
0,84836800;0,80204230
0,89827200;0,80204230
0,94817600;0,80204230
0,99808000;0,80204230
1,04798399;0,80204230
1,09788799;0,80204230
1,14779199;0,80204230
1,19769599;0,80204230
1,24759999;0,78334150
1,29750399;0,82068160
1,34740799;0,80204230
1,39731199;0,80204230
1,44721599;0,80204230
1,49711999;0,80204230
1,54702399;0,80204230
1,59692799;0,78334150
1,64683199;0,80204230
1,69673599;0,80204230
1,74663999;0,80204230
1,79654399;0,80204230
1,84644799;0,80204230
1,89635199;0,80204230
1,94625599;0,80204230
1,99615999;0,80204230
2,04606399;0,80204230
2,09596799;0,80204230
2,14587199;0,80204230
2,19577599;0,80204230
2,24567999;0,80204230
2,29558399;0,80204230
2,34548799;0,80204230
2,39539199;0,80204230
2,44529599;0,80204230
2,49519999;0,80204230
2,54510399;0,80204230
2,59500799;0,80204230
2,64491199;0,80204230
2,69481599;0,80204230
2,74471999;0,80204230
2,79462399;0,80204230
2,84452799;0,80204230
2,89443199;0,80204230
2,94433599;0,80204230
2,99423999;0,80204230
3,04414398;0,80204230
3,09404798;0,80204230
3,14395198;0,80204230
3,19385598;0,80204230
3,24375998;0,80204230
3,29366398;0,80204230
3,34356798;0,80204230
3,39347198;0,80204230
3,44337598;0,80204230
3,49327998;0,80204230
3,54318398;0,80204230
3,59308798;0,80204230
3,64299198;0,80204230
3,69289598;0,80204230
3,74279998;0,82068160
3,79270398;0,82068160
3,84260798;0,80204230
3,89251198;0,80204230
3,94241598;0,82068160
3,99231998;0,80204230
4,04222398;0,82068160
4,09212798;0,80204230
4,14203198;0,80204230
4,19193598;0,80204230
4,24183998;0,80204230
4,29174398;0,80204230
4,34164798;0,80204230
4,39155198;0,80204230
4,44145598;0,80204230
4,49135998;0,80204230
4,54126398;0,80204230
4,59116798;0,80204230
4,64107198;0,80204230
4,69097598;0,80204230
4,74087998;0,80204230
4,79078398;0,80204230
4,84068798;0,80204230
4,89059198;0,80204230
4,94049598;0,80204230
4,99039998;0,80204230
5,04030397;0,80204230
5,09020797;0,80204230
5,14011197;0,80204230
5,19001597;0,80204230
5,23991997;0,80204230
5,28982397;0,80204230
5,33972797;0,80204230
5,38963197;0,80204230
5,43953597;0,80204230
5,48943997;0,80204230
5,53934397;0,80204230
5,58924797;0,80204230
5,63915197;0,80204230
5,68905597;0,80204230
5,73895997;0,80204230
5,78886397;0,80204230
5,83876797;0,80204230
5,88867197;0,80204230
5,93857597;0,80204230
5,98847997;0,80204230
6,03838397;0,80204230
6,08828797;0,80204230
6,13819197;0,80204230
6,18809597;0,80204230
6,23799997;0,80204230
6,28790397;0,80204230
6,33780797;0,80204230
